,rxn_id,SMIRKS,condition,class_I,class_II,two_reacs,one_rad,not_spectator,rxn_smiles,HAT,elem_surrogate,no_paton_data,specific_rxn,formal_charges
0,293,"[H:4][CH2:3][C:2](=[CH2:1])[CH:5]=[CH2:6].[Cl:7]>>[H:4][Cl:7].[CH2:6]=[CH:5][C:2](=[CH2:1])[CH2:3] 3,4-4,7;3,4-3;7-4,7",Room Temperature,Propagation,abstraction,True,True,True,C=CC(=C)C.[Cl]>>[CH2]C(=C)C=C.Cl,True,True,True,True,False
32,785,"[H:20][CH:21](C)C(C)CO.[OH:10]>>[H:20][OH:10].C[CH:21]C(C)CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)CO.[OH]>>C[CH]C(C)CO.O,True,True,False,True,False
33,787,"[H:8][C:7]([H:9])([H:10])[CH2:6][C:4]([CH3:3])([CH3:11])[OH:5].[H:2][O:1]>>[H:8][C:7]([H:9])[CH2:6][C:4]([CH3:3])([CH3:11])[OH:5].[H:2][O:1][H:10] 7,10-7; 7,10-10,1; 1-10,1",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)(C)O.[OH]>>[CH2]CC(C)(C)O.O,True,True,False,True,False
34,789,"[H:20][CH:21](CC(C)C)O.[OH:10]>>[H:20][OH:10].CC(C)C[CH:21]O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)CCO.[OH]>>CC(C)C[CH]O.O,True,True,False,True,False
35,791,"[H:20][C:21](C)(C)CCO.[OH:10]>>[H:20][OH:10].C[C:21](C)CCO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)CCO.[OH]>>C[C](C)CCO.O,True,True,False,True,False
36,793,"[H:20][CH:21](CO)C(C)C.[OH:10]>>[H:20][OH:10].CC(C)[CH:21]CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)CCO.[OH]>>CC(C)[CH]CO.O,True,True,False,True,False
37,797,"[H:20][CH:21](C)C(C)(C)O.[OH:10]>>[H:20][OH:10].C[CH:21]C(C)(C)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)(C)O.[OH]>>C[CH]C(C)(C)O.O,True,True,False,True,False
38,799,"[H:20][CH2:21]C(C)(CC)O.[OH:10]>>[H:20][OH:10].CCC(C)([CH2:21])O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)(C)O.[OH]>>[CH2]C(C)(O)CC.O,True,True,False,True,False
39,801,"[H:20][CH2:21]C(C)C(C)O.[OH:10]>>[H:20][OH:10].CC([CH2:21])C(C)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)C(C)O.[OH]>>[CH2]C(C)C(C)O.O,True,True,False,True,False
40,803,"[H:20][C:21](C)(C)C(C)O.[OH:10]>>[H:20][OH:10].CC([C:21](C)C)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)C(C)O.[OH]>>C[C](C)C(C)O.O,True,True,False,True,False
41,805,"[H:20][C:21](C)(C(C)C)O.[OH:10]>>[H:20][OH:10].CC(C)[C:21](C)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)C(C)O.[OH]>>C[C](O)C(C)C.O,True,True,False,True,False
