,rxn_id,G_r,DG_TS,DG_TS_tunn,dG_rxn,dG_forward,dG_reverse,fr_dG_rxn,fr_dG_forward,fr_dG_reverse,s_prod0,q_reac1,s_reac1,qH_reac0,qH_prod1,q_reac0,q_prod1,q_prod0,BV_reac1,BV_prod0
390,566243,6.17259737965644,30.6207108750939,28.72140932930152,4.159837496167086,78.89785446658962,74.73801697042254,-2.366815179929688,125.56029527427782,127.92711045420751,0.5824206,0.04609008,0.6795747,0.13692965,0.13485909,-0.30752653,-0.13783908,-0.16097887,0.5460006988985205,0.21154731352758174
456,789994,6.268777852699666,28.598010915096573,27.13337992414349,6.878895167773592,82.9573857713261,76.07849060355251,0.21884709875098451,127.41467166144349,127.19582456269251,0.81811893,-0.19933249,0.7013396,0.16782632,0.1569147,-0.27974406,-0.2640129,-0.13243347,0.48152554368380895,0.4165333775642743
233,986042,-12.257202412234212,19.30812079899011,17.138327731529774,-14.26562771592694,71.33980007195325,85.60542778788019,-14.122356227711819,111.24242375793594,125.36477998564776,0.46694732,-0.08263388,0.92802274,0.2599194,0.13668275,-0.2507382,-0.0905556,-0.17942014,0.45660495348264796,0.3676900058691454
1120,389723,0.316860385935202,21.533897676014327,19.7910956390152,3.6829879740950417,82.48765393215287,78.80466595805783,0.672249841680923,127.16480198553481,126.49255214385389,0.8538083,-0.16144218,0.7568698,0.13580118,0.1509612,-0.21025386,-0.28293368,-0.16975965,0.41779265026049067,0.43033494666936734
1439,221981,-0.7561563223441938,23.3574453785154,21.606059595719152,-0.021427456891970564,88.90472083091828,88.92614828781025,0.5211930967286378,132.9895717316469,132.46837863491825,0.9584895,-0.32058617,1.0162824,0.1445108,0.15058638,-0.35927513,-0.30491516,-0.3224574,0.527111323631552,0.5308713206907948
824,535995,-10.891517888777676,17.18446213947992,15.89065948562718,-10.270953407701228,79.96715807974435,90.23811148744558,-5.003471729219939,131.1649203765859,136.16839210580585,0.67205757,-0.4078026,1.0481534,0.15616,0.15461892,-0.4420122,-0.4660104,-0.41705108,0.3745694244538915,0.28926836910315534
733,38292,-20.19173081292013,18.14335318660242,16.6286997106174,-20.439670480639094,70.182999388443,90.62266986908209,-21.859538251096396,115.06830022400509,136.92783847510148,0.5506841,-0.3971749,0.99688023,0.12449722,0.15614092,-0.08247552,-0.43620053,-0.047852356,0.3461050135124751,0.438602240049796
2,369967,-1.7238483799720066,17.60545569111474,16.277869177868528,-2.1564893824660345,97.68847211371477,99.8449614961808,-1.205015840240776,133.4170745752874,134.62209041552816,0.9606403,-0.021209275,1.0024812,0.15354055,0.13159317,-0.1877716,-0.19593708,-0.044484776,0.5584407268365452,0.4537402523256703
1321,569134,-6.369453753747541,15.615976963118708,14.420214352256531,-4.578062299686067,84.03514772953106,88.61321002921713,-5.56584725587399,121.36620814829567,126.93205540416966,0.86038244,0.06427712,0.9131061,0.11460766,0.1324308,0.04074971,0.09838215,0.069074094,0.4482567478258047,0.5175464850652418
85,969489,10.36884791346709,28.218922015692225,27.026019372005404,10.639425421079608,100.5625762194028,89.92315079832319,0.8142342716267024,138.1841500964208,137.3699158247941,1.0677232,-0.358861,0.9329944,0.12580372,0.15821573,-0.29690948,-0.45455334,-0.19383195,0.26521754677999865,0.2713035483950047
473,388527,26.303548341366017,41.35200937967756,40.39747441415199,26.931979183327456,100.98734552608141,74.05536634275396,14.370798979075232,137.08048377521118,122.70968479613595,1.1124341,-0.2010327,0.4772008,0.13209313,0.1666698,-0.27825975,-0.34605402,-0.21706648,0.4527888629043337,0.34863683462240314
987,325120,1.6568190249792916,16.08587972960756,15.21051481298502,0.5974120958265985,84.9332425545917,84.3358304587651,1.139840077225216,130.6768184288394,129.53697835161418,0.9295072,-0.3348429,0.80653787,0.15108658,0.14898819,-0.29816884,-0.3313914,-0.30069795,0.2959137086621166,0.24035502152485383
